diablo royale;667430253858594819;kitchen fulla nachos // future you fulla nachos?? @ Diablo Royale https://t.co/NOA2yzFx9A;true;
xin;669047654853255168;I'm at Xin Xin Super Laundromat in Brooklyn, NY https://t.co/Ya5DTdIoS0;true;
xin;669209758629543936;I'm at Long Xin Chinese Kitchen in Bronx, NY https://t.co/kp5oYkwNDm https://t.co/pVsmNZ9skr;true;
smoke;668874394635247616;I hear the fly shit they be saying.. So I smoke the bullshit away.. Shoutout to myself and the fly… https://t.co/VG3YGTl1e7;true;
smoke;668404474273267713;@UrGoinOffline You should be sobering up about now so smoke again and play more RS;false;
smoke;669318815709274113;"I wish I could just smoke crack socially sometimes." #OverheardInNewYork;false;
smoke;667566764490752000;@_ShellBellBow no smoke damage?;false;
smoke;670007950451298305;@TrillTeo can't smoke with the fam so i gotta drink lmfao;false;
smoke;670237054735769600;Red barns, smoke house, chicken coop and well house. 6:54 AM.… https://t.co/mFwGngP6rW;true;
smoke;668570752401186816;??-Girl you is my baby, girl you is my baby, I gotta smoke some weed cause girl you drive me crazy, I LOVE YOU?;false;
smoke;669013272788619265;Think we need a smoke break.;false;
smoke;667832212465684482;bitch i'm from the rose u don't want no smoke !!!;false;
smoke;667891420972339200;walking around , bouta smoke this clip by my lonely ?;false;
legion;670021926258155520;Conyers Gang!! @ American Legion https://t.co/1osecmZSEx;true;
legion;669931672209506305;In the spirit of the holiday…#townwidefundofhuntington #turkeytrot @ American Legion Huntington https://t.co/BZ0io3ShT0;true;
legion;670148698836484096;@georgedragonite join my guild we're trying to be mythic hellfire before legion rolls around;false;
legion;669379041422626816;This is happening every day... everywhere... the world is waking up... #mmm2016 #expectUS #wedonotforgive #Legion https://t.co/7bdq6Qx2UH;false;
legion;669900129122574336;Some of my favorites. #turkeytrot #friends #family #celebrate #health @ American Legion Huntington https://t.co/EHyrbPIwKl;true;
legion;668164191585333248;The sunshine makes me smile ? @ American Legion Post 1456 https://t.co/XXKzanH0kz;true;
legion;669591190094921728;@CBSNews @Rosie @realDonaldTrump bill mackinions building 5 coins run by Massachusetts Nazis from the legion #theamericanlegion;false;
legion;669936634947735552;Just posted a photo @ Brentwood Legion Ambulance Service, Inc. https://t.co/eVO1vXp2DG;true;
legion;667484925571022848;Jones beach power squadron dinner. #ShouldBeFun (@ American Legion Post 1132 in Seaford, NY) https://t.co/6C7sKTh9vC;true;
legion;669336424924233728;@magicbeans @stephaniedrury He is legion this time of year;false;
boulton & watt;668266919250812928;I'm at Boulton & Watt - @boultonandwatt in New York, NY https://t.co/ohpRnvl8gc;true;
a+ chinese restaurant;670013835114319872;Currently listening to Christmas music inside a Chinese restaurant on Thanksgiving. 'merica;false;
a+ chinese restaurant;668895350770544640;When you dgaf and roll up in a Chinese restaurant https://t.co/jbMxuDDYuK;false;
a+ chinese restaurant;668895132293402625;Good stories pt1 , rolling up in a Chinese restaurant https://t.co/rBXcQ3Y9vk;false;
a+ chinese restaurant;669864573881683972;3. Turks attacked a Chinese restaurant owned by Turks to protest China. https://t.co/UNgqmLX9sM;false;
burger time;667389281120485377;Yum (@ Burger Time in Bronx, NY) https://t.co/sZl8ggl0hR;true;
cafe r;667799069520195584;I'm at Cafe R in New York, NY https://t.co/QG27nkBEN4;true;
buttermilk channel;668482507382255616;Sunday brunching with @sydneykiah ! @ Buttermilk Channel https://t.co/lBZLrD1kzJ;true;
buttermilk channel;668479611248873472;Fam. ?? #nyc @ Buttermilk Channel https://t.co/7Q2SQiZUqZ;true;
buttermilk channel;668573693921075200;Finally. Been trying to come here for years. (@ Buttermilk Channel - @buttermilkbklyn in Brooklyn, NY) https://t.co/uK2NwTeFBN;true;
buttermilk channel;668084227825627136;Saturday swag #airjordan7 #nyc @ Buttermilk Channel https://t.co/DbqgPENpat;true;
meskerem;668553328100564994;Delicious! (@ Meskerem Ethiopian Restaurant in New York, NY) https://t.co/jsP6ZQhNR7 https://t.co/kjzjMDLYNX;true;
meskerem;667911404104601601;? After 7 years, finally. #beingroyalty with skull_and_sass #latergram @ Meskerem Ethiopian Cuisine https://t.co/KUNHy5CFeB;true;
limon;669319216596692992;Even tho I'm super cheesy it was good catching up with my girls from intern days @ Limon Jungle https://t.co/2gpoch89BD;true;
limon;669974799347810305;That moment when you are drinking and get the #Hiccups #LastNight @ Limon Jungle https://t.co/rV4tjqCDqT;true;
brothers pizza restaurant;667882649717968896;This is legit - Drinking a Good Deeds by @BerkshireBrewCo @ Two Brothers Pizza Restaurant  — https://t.co/k3XIJ6n9d3;true;
brothers pizza restaurant;667889563717787648;Yowzers - Drinking a Roadsmary's Other Baby by @2RoadsBrewing @ Two Brothers Pizza Restaurant  — https://t.co/HCSl0LUGk6;true;
brothers pizza restaurant;667891842961272832;Drinking a Big Mamie by @gansettbeer @ Two Brothers Pizza Restaurant — https://t.co/htBusyk6Cd;true;
brothers pizza restaurant;667876507042320384;Drinking a DoppelSticky by @lagunitasbeer @ Two Brothers Pizza Restaurant — https://t.co/jWuXoP8EJt;true;
pick-a-bagel;669882525511229442;I'm at Pick-A-Bagel in New York, NY https://t.co/icRHCssDkR;true;
miller's near & far;668227584128188416;Cheers sillyred90 @chelseacalling @ Miller's Near & Far https://t.co/Gk8ZoZLhF9;true;
miller's near & far;667901126700830720;sometimes we get a little drunk and don't care about the photo.  #erikaforever @ Miller's Near & Far https://t.co/cx1dSVoCLv;true;
d'savannah;669928429215686657;This Sunday I will be Djing the Caribbean party @ D'Savannah bar and lounge https://t.co/eQVgpxEB1J;true;
fresco;669723122434748416;Nada como sentir el fresco del otoño con la calidez de tan linda compañía... ??? @ Times Square, New… https://t.co/jjDBRU3sSA;true;
fresco;669920405583495169;AL fresco Thanksgiving Dinner! TY for the recommendation @DorindaMedley ××× @FoodStringer https://t.co/DHFAc4gpzJ;false;
fresco;668477721471819776;Ta fresco pa' chomba! #NY @ East River State Park https://t.co/VaLiwgy0vR;true;
mayahuel;667893873423859713;I'm at @MayahuelNy in New York, NY https://t.co/UHKyoPt1di;true;
cafe petisco;669892368049524736;I'm at Cafe Petisco in New York, NY https://t.co/iEkhcsGbOJ;true;
tbsp;668964225847459840;Skipping through episodes of TBSP and holy fuck they never fucking went in the customization menu through 34 parts https://t.co/FOHirVpd1R;false;
e's bar;669721664670711809;Pre-gaming Thanksgiving with friends #thanksgiving #fruitstand #afterhours @ e's BAR https://t.co/tXvVfjolOl;true;
avenue;667770757620080640;Construction on #LLine BOTHDIR from 8th Avenue Station to Rockaway Parkway-Canarsie Station https://t.co/mobgU5MkY2;true;
avenue;667770669673914370;Incident on #M72Bus BOTHDIR from E 72nd Street:Amsterdam Avenue to E 72nd Street:Madison Avenue. https://t.co/NieERue17O;true;
avenue;669120380490117120;Update: Incident on #FLine Brooklyn bound from Avenue X Station to Coney Island-Stillwell Avenue Station https://t.co/7GMl7zRjIE;true;
avenue;667701082144026624;I'm at 960 Madison Avenue in New York, NY https://t.co/jctwbPU62x;true;
avenue;668547566716497920;@NYCDailyPics # 13th Street 1st Avenue #NYC https://t.co/dcSfpRJNEp;false;
avenue;669120958947553280;Delays on #I278 WB from Castle Hill Avenue to Hunts Point Avenue;false;
avenue;669420388401696768;We still going #_2DollarTuesdays 2192 Flatbush avenue @ The New Esavoy Lounge https://t.co/R5aEDaRFuS;true;
avenue;667793117492416512;Update: Incident on #M5M7Bus BOTHDIR from Avenue of the Americas:14th Street to Avenue of the Americas:57th Street https://t.co/Zk84llP1v4;true;
avenue;668563886371676160;pink skies from Park Ave @ Park Avenue and 86 Street https://t.co/EZXydCCEyt;true;
avenue;667694441877118976;Construction on #SouthernStateParkway BOTHDIR from Exit 13S - Central Avenue to Exit 27N - Wantagh State Parkway https://t.co/2EQ0ivm1Lf;true;
the lighthouse;669910947507494912;Astoria The Lighthouse is ready for you! Turkey giveaway and community luncheon starting soon! Don't… https://t.co/VP02Icl3bH;true;
bubba gump shrimp co.;667875771243958272;I'm at Bubba Gump Shrimp Co. - @bubbagumpco in New York, NY w/ @t4ylor75 https://t.co/dsJ2SrRkLj;true;
bubba gump shrimp co.;667841607115415552;I'm at Bubba Gump Shrimp Co. - @bubbagumpco in New York, NY w/ @meggan_ https://t.co/MbdVs36OpW;true;
bubba gump shrimp co.;667525537129177089;Waiting for Forrest. @ Bubba Gump Shrimp Co. Times Square https://t.co/j9dkQeRkzX;true;
bubba gump shrimp co.;667881840598994944;Food with the gang!! @ Bubba Gump Shrimp Co. Times Square https://t.co/Not4b9YQdB;true;
bubba gump shrimp co.;670090446266322944;#bubbagump #nyc #newyork #timessquare @ Bubba Gump Shrimp Co. Times Square https://t.co/eZMQpQrS39;true;
bubba gump shrimp co.;668998706969055233;I'm at Bubba Gump Shrimp Co. - @bubbagumpco in New York, NY https://t.co/034f9KrBXy https://t.co/ia6pry4nYJ;true;
bubba gump shrimp co.;668600905734995968;Stupid is as stupid does @ Bubba Gump Shrimp Co. Times Square https://t.co/XUGyBAUYTu;true;
bubba gump shrimp co.;669591404243320832;Bubba Gumps ??? @ Bubba Gump Shrimp Co. Times Square https://t.co/9MK4uGZmHJ;true;
bubba gump shrimp co.;669267529458651136;GoodTymes!! #ForrestGump #instanyc #nyc @ Bubba Gump Shrimp Co. Times Square https://t.co/kW7xuWJDDV;true;
bubba gump shrimp co.;668897774038081536;Yamiiiiii? (@ Bubba Gump Shrimp Co. - @bubbagumpco in New York, NY) https://t.co/8S0CkAW9Ka;true;
dean street;667806107159498752;Used to roam on Dean now I sing Dean Street anthems ??????;true;
dean street;667705322988044288;@nyc_dot when will the community be informed what the MTP plan is for Dean Street between Flatbush… https://t.co/Fs7dczxJZc;true;
diamond horseshoe;667557286911447043;??? #queenofthenight #NYC #latergram #vsco #vscocam @ Diamond Horseshoe https://t.co/lGzUS0O4N9;true;
diamond horseshoe;669678434923204609;#verski ??????????????????? @ Diamond Horseshoe https://t.co/FxjYjK3mGW;true;
diamond horseshoe;669806376760291332;Just posted a photo @ Diamond Horseshoe https://t.co/xKSaj8nMjB;true;
diamond horseshoe;667785197304156160;So Excited To Celebrate @amanda_lepore 's #Birthday At @prettyuglyparty diamondhorseshoe Tomorrow… https://t.co/UXtH0lJWpt;true;
diamond horseshoe;669290631064387584;#ablife #abfriends #ilovenewyork #nyc #newyorkcity #diamondhorseshoe #amandalepore… https://t.co/dzeZ3YtrEY;true;
diamond horseshoe;668330493763559424;Lick @kylefarmery drevanlenhoffnyc @ Diamond Horseshoe https://t.co/1pasPCDmuY;true;
m. restaurant;667756490657275904;To all my friends,fans and students. Thank you for talking about my restaurant & new film LEGEND out today.;false;
m. restaurant;667945585178189824;One of the guys from the sopranos his name is tony and he lives in the building above my restaurant and he said the new tenants pay 6000 a;false;
isa;669779974400958465;@ChristineBBabao @Luweeh1013 simpre naman kung isa lang ang lalaban para que pa...#ALDUB19thWeeksary;false;
isa;667377018540027904;Tas ang isa pang posibleng mangyari hahaha itatakas ni alden si meng or vice versa lol #ALDUBFixedMarriage;false;
isa;669582231086735360;Maraming pangarap, pero isa lang ang pag-ibig.  #ALDUB19thWeeksary ganon https://t.co/pfW3l7X79Z;false;
isa;669920620113731584;@mikimaws @jaysondmx yeap at ito pa isa hehehehehe #ALDUBDontGiveUpOnUs;false;
isa;668129764155199489;@d1968leon @amba_dee @mainedcm sandali ahaha may sc ang isa samin woooooo ambilis eh #ALDUBFightForLove;false;
isa;667919157845954560;@maiden16_Guam ay grabe ka sakin ate! isa na yan sa pinakamadali kong ginawa hahaha may label na woooooo #ALDUBSumptuousLunch;false;
isa;668343959077433345;Nag kahulugan na ung isa't isa fall pa more #SPSKrismaSaya https://t.co/px2XdQburH;false;
isa;667758752125337600;Bumigay na ang isa pang basketball team, naniniwala na rin sila na si Tisoy at Meng na! 212+12= 224 na kami! #ALDUBSumptuousLunch TeamSilaNa;false;
isa;668964930989727744;@sectorexternoLA Isa Conde es otro que por defender su carguito Habla mal de todos, que vergüenza dan estos Politicos Baratos.Quien lo Ve???;false;
isa;669554175898963968;I love when isa sends me things that remind her of me??? @_ibenenati;false;
stone creek;668537180193730560;He's back. Football is a family!! #cowboys  #cowboysnation  #letsgocowboys? @ Stone Creek Bar Nyc https://t.co/Fk6iuqWmmh;true;
brasserie;667888589942996992;Dinner with EdD (@ Blue Ribbon Brasserie in Brooklyn, NY) https://t.co/7MnRT0UMx7;true;
brasserie;669644453175521280;Drinking an Orval by Brasserie d'Orval @ Pier Village — https://t.co/JA0LFeqvLo #photo;true;
brasserie;669917758780538881;I'm at Brasserie @Ruhlmann_nyc in New York, NY https://t.co/04EIwMZcEL;true;
brasserie;667921058989809664;HOUSEMADE SILKY TOFU BY THE HOUR ?? #TOFU @ En Japanese Brasserie https://t.co/RmM2hJRo0U;true;
brasserie;667919097649364992;?????? ?? #UNI @ En Japanese Brasserie https://t.co/vvZN66a52R;true;
brasserie;670000506677370880;#Thanksgiving dessert sampler!  Yum #brasserie53 @ Brasserie https://t.co/KlpCZ7Lrz6;true;
brasserie;668597718328213505;I'm at @SugarFactory American Brasserie in New York, NY https://t.co/Jbw4mkMsgO;true;
brasserie;669931879496331264;Just posted a photo @ Brasserie Ruhlmann https://t.co/mKAVjrN2l1;true;
brasserie;669356053155463168;Tonight Brasserie Le Pigalle, but BXL Café is also fantastic @Zrbinski  https://t.co/lKnq4LKr0j;false;
brasserie;669588778944712704;Curioos team lunch! @ Brasserie Les Halles https://t.co/lxiPlbMTIr;true;
ample hills;669690922502852608;All @ohsobobby's fault (at @AmpleHills Creamery in Brooklyn, NY) https://t.co/fOBjvzunRx;true;
ample hills;668167605916667905;I'm at @AmpleHills Creamery in Brooklyn, NY w/ @socoloko https://t.co/zE8VTVNMsS;true;
ample hills;669378576177881088;ICE CREAM! Brooklyn's Ample Hills Scores $4 Million in Investment to Start an Ice Cream Empire https://t.co/7pqokT03FL  @EaterNY #icecream;false;
ample hills;668551791219449857;Butter pecan @ Ample Hills Creamery // Gowanus https://t.co/8Lfu3RVtbP;true;
ample hills;667911201872060416;never too cold for @amplehills ?? @ Ample Hills Creamery https://t.co/wwgBargb3W;true;
ample hills;668279138336264193;I'm at Ample Hills Creamery Pop Up in New York, NY https://t.co/8saHWKsgYX;true;
ample hills;667911626151043072;I'm at @AmpleHills Creamery in Brooklyn, NY https://t.co/Ibi53La0su;true;
ample hills;669318203261247488;Behold! #TheUnbuttoner lives! Nice work @amplehills ???? @ Ample Hills… https://t.co/9fxri0hv49;true;
ample hills;669623764670394368;Excellent flavor lineup at @amplehills right now ?? ? Gather 'Round The Campfire ? The Unbuttoner ??… https://t.co/L1ZHCyHVDZ;true;
ample hills;668538777657176064;Never too cold for @amplehills ? @ Gotham West Market https://t.co/zz6pAZ5mBT;true;
north end grill;669972240734298113;Pumpkin Cake, cranberry, pumpkin seed brittle, cinnamon meringues, whipped cream #Thanksgiving @NorthEndGrill https://t.co/ibTEXvJvcc;false;
north end grill;669971314195742720;Salted Caramel Apple Pie with Oat Crumble and Vanilla Ice Cream #Thanksgiving @NorthEndGrill https://t.co/HQE9mvuEaw;false;
north end grill;667759919463034880;.@NorthEndGrill becoming one of those few return-restaurants for me and @angmoore https://t.co/XclNQkdL9c;false;
north end grill;667571780983373824;?? #99BriggZ @ North End Grill https://t.co/z4gDCPMUFa;true;
north end grill;670052584816828416;Well, that meal was pretty excellent. (at @NorthEndGrill in New York, NY) https://t.co/Ntva7ZI46O https://t.co/CbfCSvWaqx;true;
north end grill;669332411776397312;Special #dessert for the @northendgrill @rebellenyc dinner tonight! Yogurt Mousse, pink grapefruit… https://t.co/uczGsPBAOE;true;
north end grill;667761043062579200;Artichoke, pork/kale sausage, duck rillette, potato soup @NorthEndGrill @angmoore https://t.co/xZTASt7t3J;false;
north end grill;667502669301420032;Honeycomb candy planet @NorthEndGrill https://t.co/cPcf6aDw8q;false;
north end grill;669972513196220416;Maple Panna Cotta, poached pears, huckleberry and granola crunch #Thanksgiving @NorthEndGrill https://t.co/kXPf2CTrqo;false;
north end grill;668184631158677504;????? #ladyliberty #rooftop @northendgrill @ North End Grill https://t.co/dBsvYogCfz;true;
tuttles;667471871231852545;Gearing up for a great night at @TuttlesNYC for the NYC Alumni Chapter Fall Social! #SBUNYC;false;
tuttles;667476752722239491;@RoshniSondhi, we're at @TuttlesNYC (735 2nd Ave)! You're more than welcome to join us! Event details: https://t.co/w77ciRp8ev;false;
tuttles;667503694666010624;Love my friend & colleague Kristin Matthews!  #SBUNYC #seawolvesforlife @stonybrookalum @ Tuttles Bar… https://t.co/mYUOLlg1hK;true;
blue sky;668917897482383360;#EllisIsland #Sunset ... #NewYork #NYC #Skycandy #Skyline #BlueSky #Skystalker #Sunstalker… https://t.co/3Svv56cgmW;true;
blue sky;667859243622510592;#centralpark #fallfoliage #bluesky @ The Beresford https://t.co/NdB5ZkjqOF;true;
blue sky;667698268206338048;#goodmorning #wispy #cirrus #clouds #bluesky #skyscapes #photography #cloudscapes #universetoday… https://t.co/XLkKysUULI;true;
blue sky;668594435786211328;#nyc blue sky ??? #theplazahotel #tytyinnewyork @ The Plaza Hotel https://t.co/WWiyBjjwmA;true;
blue sky;668097998958813185;Colorful & Cool! #fall #morning #trees #leaves #parks #bluesky #cool #color #nyc #bringlightin https://t.co/XYnJNAbwYi;false;
blue sky;668104238011125760;Bright blue sky 112115 @ 14th Street – Union Square (New York City Subway) https://t.co/LO6LtXIsmQ;true;
blue sky;668778110251347968;Bright blue sky 112315 @ Union Square Park https://t.co/4Zcr7Ik1rq;true;
blue sky;669505948369747968;Bright blue sky 112515 @ Union Square Park https://t.co/lzGiBqLcom;true;
blue sky;669260552338841605;#Beautiful #autumn afternoon in #yonkers. #ny #usa #fall #colors #trees #bluesky #sky #light #green… https://t.co/TZ37lq2lBC;true;
blue sky;669257727290376193;This tower was a long way up. Good job it had a quick lift to the top. Such a nice blue sky today. @… https://t.co/nHz967JfZP;true;
taj mahal;670091144747986945;?I'm thankful I have this piece of ? to stuff my face with? #tajmahal #foodiecouple #PwCThankful… https://t.co/esQiLuq1ZH;true;
taj mahal;668517504927604737;Hey????#wintermorning #selfie @ Taj Mahal Restaurant & Party Hall,Inc. https://t.co/PAd9XWWOBF;true;
bogota latin bistro;668121328155783168;Of course (@ Bogota Latin Bistro - @bogotabistro in Brooklyn, NY) https://t.co/apaDzzXPhd;true;
bogota latin bistro;670277189909225472;I'm at Bogota Latin Bistro - @bogotabistro in Brooklyn, NY https://t.co/Oaj9AS8Van;true;
copacabana;668159421109825536;Tonight at the copacabananyc #SalsaUnion and #bachatamania are back! 268 west 47 st- second floor-… https://t.co/9A71Wk5wJg;true;
copacabana;668114272464015360;TONIGHT- #salsaunion and #bachatamania at the @CopacabanaNYC 268 WEST 47ST - SECOND FLOOR- 8 AVENUE ENTRANCE Letsgo! https://t.co/3vj0yV6b5y;false;
copacabana;668113676466040832;TONIGHT- #salsaunion and #bachatamania at the @CopacabanaNYC 268 WEST 47ST - SECOND FLOOR- 8 AVENUE ENTRANCE Letsgo! https://t.co/Qg4rZMBhXl;false;
copacabana;667817580162215936;Annual #hospicemonth event raises $260,000. Donors enjoyed dinner at @CopacabanaNYC & @AmericanInParis on Broadway! https://t.co/BFvMzaAMaK;false;
copacabana;668909136323682304;Come Tomorrow & Find your Partner! https://t.co/UhKz7xjCjW #copalife #copacabananyc #salsa #love #nightclub https://t.co/k74eDVLSmj;false;
copacabana;667859122327568384;Come this Saturday! https://t.co/c1n9sa2nxt #copalife #copacabana #nigthclub #love #fun #music #top40 https://t.co/49AwPGUfru;false;
copacabana;668481386362380292;At Copacabana with cast and producers. Celebrating at wrap up dinner for web series. #webseries… https://t.co/SJfvmiP6Na;true;
copacabana;669453655913988096;CopaLife! https://t.co/ikkLdeEpdl #copalife #copacabana #nigthtclub https://t.co/SRZ97k0SLp;false;
copacabana;668567310622412800;I'm at Copacabana Brazilian Restaurant in Astoria, NY https://t.co/36sZxRU6yH;true;
copacabana;668113805654818816;TONIGHT- #salsaunion and #bachatamania at the @CopacabanaNYC 268 WEST 47ST - SECOND FLOOR- 8 AVENUE ENTRANCE Letsgo! https://t.co/mBlw6CgKDZ;false;
the abbey;670238788258553856;"wake up we are going to the abbey while it's still foggy";false;
the abbey;668274679711293444;Drinking in the dark at #theabbey. Thanks @nickadamski only ???? @ The Abbey https://t.co/72UyF8npjT;true;
lobo;669004729884778496;Al lobo no le quita el sueño la opinión de las Ovejas.... ??? @ New York, New York https://t.co/Csai0zLsl3;true;
lobo;668843297507565569;SAMSWORLD exploded unaware that all Maria's are lobo survivors w/ wideeyehamburstorez who now t a l k t o m e;false;
lobo;668901684719058944;Speaking of Can of Worms and Pandoro's Box: Ehrlich connected w/ Claudia Peddington house called original Lisa ws bi w/ gaywife not lobo but;false;
lobo;669549970605895680;Esto va para ti derechista que te vistes de oveja pero eres un lobo más @lopezobrador_ https://t.co/ujdGmz31EE;false;
the chocolate room;667853629374791681;Yayyyyy for adult milkshakes! (@ The Chocolate Room in Brooklyn, NY) https://t.co/Gyc7ZatRtf;true;
the chocolate room;668223286866767873;Nothing beats chocolate cake and cappuccino. @ The Chocolate Room Brooklyn https://t.co/4A60p2CHWy;true;
stocked;667414662670077952;Oh no. The end is near. Are you posting from your well stocked underground survivalist bunker? @mavrick803 https://t.co/Mo4LKH8nok;false;
stocked;669255086590271488;Home is where a fully stocked fridge is ??;false;
stocked;670164365153292289;If this Gamestop stocked literally what the poster says, I'm leaving with an Ike. Lucario is my second pick if they don't have Ike;false;
stocked;667525186414059521;I just checked to see if I'm stocked on alcohol. I have a bottle of Jack, Peach Schnapps, Apple, Midori, and a four Loko.;false;
stocked;668123633164906496;so weird to come home and see a fully stocked fridge, not used to it;false;
stocked;667892356386025473;Fully stocked and ready for the weekend! Don't wait for your favorite flavors to be gone. You can… https://t.co/eXBdsjKW1B;true;
stocked;668496300376244224;My raw chocolate package arrived! Stocked up! Get 20% off this week only use code: newchoco https://t.co/vtQvbddou9 https://t.co/w3t0sK319X;false;
stocked;669300382208688128;@rbren in Red Hook is stocked up for your Thanksgiving shindig. #sixpoint #highervolume #craftbeer… https://t.co/b19Xsp3R21;true;
stocked;669339184612696064;This depiction of a stocked freezer seems… troubling https://t.co/LvDP2mj3M4;false;
stocked;667480477448695810;Ugly and not so ugly sweaters, we're stocked up on tons of women's and men's vintage sweaters, for… https://t.co/mf29ig4yyz;true;
mario's;667525042608201728;NEW MUSIC: Mario's "Forever" Feat. Rick Ross!  https://t.co/1GGQbFE4rs;false;
mario's;669350854084964352;Finally back in #NYC with my peeps... (@ Uncle Mario's in New York, NY w/ @jacamyot) https://t.co/VVUMcO8Glb;true;
mario's;669356160194097152;Dique Mario's at the Barber shop a etaaaaaa hora ????;false;
mario's;667898777278226433;Pizzaz!!! (@ Mario's Pizzeria in Commack, NY) https://t.co/HpVUPmCgzB https://t.co/FaaxouvJgD;true;
mario's;668941233461592065;#PizzaFein (@ Mario's Pizza in Bronx, NY) https://t.co/BfKtpYHjAA;true;
mario's;668572958407966720;When Mario's jokes go to far and they are just plain fucked up https://t.co/ihWlu6Bb2z;false;
mario's;669630620499353600;I'm at Mario's Pizzeria in Oyster Bay, NY https://t.co/IffTZGgC6i;true;
the pomeroy;667836692657754112;My NYC friends. Please do yourself a favor and have a meal @thepomeroynyc The food is 5-star exceptional and the atmosphere is so welcoming.;false;
the pomeroy;669313003687444480;#friedchicken #macandcheese @ The Pomeroy https://t.co/YHnkDWaHNk;true;
the pomeroy;669157577582858240;Have you been to thepomeroynyc in #Astoria yet? If you do, you may spot Lady Gaga since she's friends… https://t.co/aMt8lx8FQR;true;
the pomeroy;668255916551180288;Date night with my main boo thang @KristaBasso #nomenzonetbh @ The Pomeroy https://t.co/8jVnLRGSBX;true;
sugar bar;668202970920677376;#TSoul Stopped by the World-Famous #Sugarbar stage while in #NyC #LoveAndMusicTour  One of my fav… https://t.co/rMHlLTZe9W;true;
sugar bar;669852592487428096;Open Mic @ Sugar Bar   https://t.co/0OZb7ZRPqu;true;
five leaves;668283805103472640;Best damn coffee so far. #brooklyn #newyork @fiveleavesny #breakfast #coffee @ Five Leaves https://t.co/3VGz12rpNg;true;
five leaves;668456465787518976;Truffle fries for the birthday boy @ Five Leaves https://t.co/57RNV220Ea;true;
five leaves;667748261034336257;I'm at @FiveLeavesNy in Brooklyn, NY https://t.co/CfVVxqUTCC;true;
five leaves;667753934870724608;Brunch. Outside. In November. With marcipicpic in BK! #summertime #glorydays @ Five Leaves https://t.co/69UkL8xQI5;true;
five leaves;667505676634218496;Turns out I really like Hot Toddies.  #papermagazine ?? @ Five Leaves https://t.co/fbnKtXvWM6;true;
five leaves;667913421065711616;Hipstar??????????????????????? (at @FiveLeavesNy in Brooklyn, NY) https://t.co/G0zddhGLZy https://t.co/DrBpkAmjm8;true;
five leaves;667937650557497344;magic happening. @ Five Leaves https://t.co/4MI0tKYgPu;true;
five leaves;668056166715404291;Wake-y wake-y! #coffee #latteart #weekend #BK @ Five Leaves https://t.co/DdGmHe09S1;true;
five leaves;669272905625280512;Brûléed Grapefruit with house pickled ginger & fresh mint @ Five Leaves https://t.co/GqqIDimKrZ;true;
five leaves;669273764601987072;Ricotta pancakes ? @ Five Leaves https://t.co/uok9JrF0WP;true;
walter foods;668105504779014144;Grits and soccer (@ Walter Foods in Brooklyn, NY) https://t.co/HjYAwSKDIO;true;
walter foods;669697821419962368;I'm at Walter Foods in Brooklyn, NY https://t.co/a5Tn9QGZ9h;true;
lantern;668959017482518528;@Nightw7ng @wbpictures @JensenAckles I think he'd kill it as Green Lantern and prove all the haters and doubters wrong.;false;
lantern;667366789454647296;@odwyerpr Glass Lantern featured by @coveragebooks as a firm of note https://t.co/ilCEwyjDTF;false;
lantern;669681898394935296;Checkout. (@ Lantern Thai Kitchen in Brooklyn, NY) https://t.co/WhgC92RFoT;true;
lantern;667445742571778048;Read my interview with @coveragebooks to see how Glass Lantern is changing the way #PR #business is done #entrepreneur #marketing #smallbiz;false;
lantern;667799681825710081;Drinking a Golden Ale by Keg & Lantern at @kegandlantern — https://t.co/SRTVXUyJ8z;true;
lantern;667854523948474369;@MrGazd007 warm scene in house. Children studying around wood stove, bread baking, soft lantern light;true;
lantern;667799870523224064;Drinking an Into the Wild by Keg & Lantern at @kegandlantern — https://t.co/yM2A4qV00Y;true;
lantern;668109217505628160;Eminem and Green Lantern REALLY need to bring back the Invasion mixtape series. That Armageddon freestyle on pt 3 was peak Eminem;false;
lantern;667690943303311360;?Just things around the apartment. ? #lantern #roses #palms @ Williamsburg NYC https://t.co/R5lplq6bO7;true;
lantern;668110765434499076;New #lantern display! Fun fact: The #OwlButterfly is the largest species of butterfly in the world.… https://t.co/KUasDW0hk6;true;
little branch;667802921581551618;Plan for tonight is cocktails at @LittleBranchNYC then food @DaSilvano  https://t.co/pNqTQzuMte;false;
little branch;667863300152172544;I'm at Little Branch in New York, NY https://t.co/GwCDZIszKS;true;
little branch;667343858573836290;#wwbill #ww #whiskey #whiskeywednesday #littlebranch #4748 @ Little Branch https://t.co/IfAUwdSx9m;true;
little branch;668580539247534080;Reunion. (@ Little Branch in New York, NY) https://t.co/C7iZI66fRt;true;
metropolitan;668932384780386304;My kind of Monday night! ?? (@ Egyptian Art @ The Metropolitan Museum of Art in New York, NY) https://t.co/iJgcjdCceF;true;
metropolitan;669973913749889024;Ala ala Blair Waldorf kau jahh haaa (@ Metropolitan Museum Steps - @metmuseum in New York, NY) https://t.co/5m2M6JjwM5;true;
metropolitan;668210404904955904;Just posted a photo @ The Metropolitan Museum of Art, New York https://t.co/uW9vpZe76L;true;
metropolitan;667363862195384320;I will pay anyone to come spend 6 hours in the metropolitan wif me ??;false;
metropolitan;669891270756712448;?????????????? @ The Metropolitan Museum of Art, New York https://t.co/Ae4BDGRoF7;true;
